text,recommends,label,score
As an avid Elvis fan I approve of this puzzle! ⚡️,1,positive,0.9717914462089539
"This lightning is much more fun than the storm that’s raging outside my house tonight. Still, I forced myself to focus on something else other than the sound of the wind and got it done! 

Thanks for the diversion, I needed it.",4,positive,0.9239262342453003
"I gotta say I really enjoy doing these on my iPad, but ESPECIALLY when I get a special graphic upon winning. It really feels like a reward.  Anyhow, thank you for a fab puzzle!!",2,positive,0.9866004586219788
"I really, really wish that one of the Crossword Editors would vet the  Title and Subtitle of the blog. It sits right under the puzzle and I can't tell you how many times it has completely given away the puzzle's theme. No one wants a spoiler!",0,negative,0.8327980041503906
"pleasantly surprised by the winning eye candy, evoked a smile",3,positive,0.9539045691490173
"The correct term for BMW cars is “Bimmer”, while BEEMER is exclusive to BMW motorcycles.",1,neutral,0.8259249925613403
Loved this!  Nice payoff for sticking with it.,3,positive,0.9881771206855774
Such a fun puzzle! I do it in the paper and the connect the dots was such a fun twist!,1,positive,0.9836226105690002
"Day started at 4am, with a busy 10.5 hr. workday, followed by a 4 hr. drive (to a relaxing lake house--don't hate me); finally getting a chance to unwind and tackle the puzzle while eating microwaved leftover - - - chicken tikka masala and garlic NAAN!

Beautiful Up North autumn evening--chance of hard frost tonight.",5,positive,0.8231171369552612
"Aha! So that's why BMW drivers drive like that. It all makes sense now. They're all constantly peeve-typing on their phones, correcting other people nicknaming their chosen cars!",1,negative,0.5818365216255188
Great puzzle !  Really enjoyed solving this one! Thanks,4,positive,0.9880438446998596
THIS IS MY WEEK! Just solved a Wed puzzle with no hints!! 😄😄,10,positive,0.9859102964401245
The only power source capable of generating 1.21 gigawatts of electricity is a bolt of lightning!,3,neutral,0.5686453580856323
Very cool⚡️,4,positive,0.9749516844749451
Fun one! Thanks!,2,positive,0.9804112911224365
And I was pleased as punch when I clued in ALADDINSANE at 56A 🤦🏻,2,positive,0.844467282295227
"Hello Crossword Community!

For several months, we’ve been quietly cooking up a new phrase guessing puzzle, Zorse, and we released a beta version this week. The catch? It’s only available in Canada (for now). You can learn more about our beta testing process by reading this FAQ put together by our customer care team: https://help.nytimes.com/hc/en-us/articles/24174502647444-Beta-Games/

For those of you located in Canada, you can access the Zorse beta here: https://www.nytimes.com/games/zorse

If you are not located in Canada, stay tuned for future Zorse updates.

Thank you and happy puzzling!",2,positive,0.6433963179588318
"The absence of Tampa Bay Lightning in today’s puzzle is particularly noticeable, knowing their weather will be so much in the news tomorrow.

Can’t imagine what it must be like in parts of Florida tonight…",8,negative,0.7073982357978821
"What fun this puzzle was! It’s always a kick to get a bit of animation at the end of a successful solve IMHO. Congrats on a terrific puzzle, Mr. Lease. I am a Potter fan, along with my grandsons, so that was also part of the fun for me. 
Did anyone else think of South Pacific when they saw SEABEE? I did, and I could hear them singing:
 “There ain’t nothin’ like a dame, 
Nothin’ in the world . . .”
Thinking about folks in Florida today and hoping they will be okay. Looks scary.",9,positive,0.9590975642204285
Cool puzzle!,6,positive,0.9473072290420532
"Cute, enjoyable puzzle! My only minor quibble is the crossing of HON and OHNO at 56D/61A and, to a lesser extent, the addition of AHA at 57D to the mix. I realized I mentally categorize common crossword fill words into two groups: words or subpar words (looking at you, heh, hah, aha, ohno, uhuh, ums, asdoi and so on). They all have their place but when the subpars cross, what can I say but “meh!”",6,positive,0.7208355069160461
A 20 minute solve today with a little lightning show to go with the music that plays.  A nice little warmup for the tougher versions to come on Thursday through Saturday.,5,positive,0.8780854940414429
"""Who's Bozo? Bozo the Clown, that's who Bozo is. When I was a kid, Bozo the Clown was THE clown, bar none."" I can't say it better than George Costanza!!",12,positive,0.7861149907112122
I get that sweetie is short for honey and thus hon but to me it will always be hun. That took way to long for me to find and fix.,4,negative,0.5910825729370117
"I have no interest in the increasing number of gimmicks in NYT puzzles. Thursday themes are completely out of control. Pointless visuals like today’s lightning bolt are just another example. 
Just write clever clues & stop all the pointless frills. It seems like there’s a club in which the editors & a few top solvers want to impress each other. The rest of us just want a decent puzzle without all the chrome.",2,negative,0.8933603167533875
pretty easy for a Wednesday but i’m not complaining especially since i biffed my Wordle streak today 😭,9,positive,0.9478904604911804
"I don't know if this is a Gen X thing, universal, or just me, but whenever I see a popular brand name I can't help but immediately think of and sing the associated commercial jingle, whether or not I like or use the actual product. Today's is 50A: https://www.youtube.com/watch?v=75Gxqg4BqTM",7,neutral,0.5440835952758789
"I was amazed to be able to complete this puzzle without having seen the show Friends, or having read Harry Potter, drunk Gatorade or knowing anything about the football team. Clearly, it was all in the crosses. I almost felt as if I were cheating.",7,neutral,0.4077579081058502
"Hmm. Maybe the universe is trying to tell me something. I had a brief ""visual migraine"" last night, which involves seeing a jagged lightning bolt overlaying your field of vision for 20 minutes or so.",13,negative,0.5606574416160583
